iter	RMSE
0	189.9889026
1	188.3359014
2	186.7048194
3	185.066674
4	183.4602925
5	181.8716288
6	180.3001807
7	178.7324763
8	177.186784
9	175.6574827
10	174.1204674
11	172.6245271
12	171.137703
13	169.6736763
14	168.2061416
15	166.7537058
16	165.3272332
17	163.9146051
18	162.4968902
19	161.1083612
20	159.722481
21	158.3446491
22	157.0000646
23	155.6608088
24	154.3320353
25	153.0117379
26	151.7143085
27	150.6906884
28	149.4158161
29	148.1571754
30	146.9073333
31	145.6614534
32	144.4295407
33	143.1473024
34	141.9433229
35	140.7383991
36	139.5413303
37	138.3605701
38	137.2017658
39	136.0199732
40	134.8619989
41	133.7193336
42	132.6033706
43	131.4893657
44	130.377872
45	129.2969324
46	128.212586
47	127.1460663
48	126.0887537
49	125.0440584
50	124.0015463
51	122.9717582
52	121.9536063
53	120.9511482
54	119.954384
55	118.9685971
56	117.9937637
57	117.0226887
58	116.0005505
59	115.0502344
60	114.1100583
61	113.1821427
62	112.2621162
63	111.3358515
64	110.4316129
65	109.4481166
66	108.5397383
67	107.6299661
68	106.730373
69	105.82848
70	104.9687398
71	104.0594831
72	103.224416
73	102.380263
74	101.5417892
75	100.7210256
76	99.91847322
77	99.11206235
78	98.29427363
79	97.50965391
80	96.73742956
81	95.96879372
82	95.21225114
83	94.45550133
84	93.70257101
85	92.97068889
86	92.20973348
87	91.4853028
88	90.76682638
89	90.06211572
90	89.34199252
91	88.65327886
92	87.96285589
93	87.27855819
94	86.60787306
95	85.92248008
96	85.26779188
97	84.61665567
98	83.97378259
99	83.308889
100	82.67405314
101	82.04750293
102	81.43371862
103	80.81861981
104	80.20109163
105	79.58312999
106	78.99110197
107	78.39145093
108	77.78251587
109	77.20241875
110	76.61152526
111	76.04192386
112	75.4810033
113	74.92995711
114	74.37686096
115	73.83359043
116	73.2974742
117	72.65476098
118	72.12775722
119	71.60875124
120	71.08288109
121	70.56808431
122	70.03485898
123	69.53703381
124	69.03159647
125	68.5368944
126	68.05534741
127	67.49044136
128	67.02134054
129	66.54755259
130	66.08501435
131	65.62141402
132	65.16204613
133	64.58381736
134	64.12896816
135	63.61125703
136	63.17330189
137	62.74171078
138	62.31082286
139	61.7854147
140	61.36507419
141	60.95425769
142	60.51120642
143	60.11157952
144	59.71777497
145	59.32583169
146	58.92657396
147	58.53503973
148	58.14365332
149	57.76328257
150	57.3894314
151	57.02533842
152	56.66208084
153	56.29673122
154	55.8757217
155	55.52611509
156	55.1787387
157	54.83719595
158	54.50224914
159	54.17113026
160	53.83488248
161	53.5055017
162	53.18323292
163	52.85552646
164	52.4417963
165	52.12880561
166	51.81148126
167	51.50930111
168	51.11509662
169	50.77983423
170	50.48539226
171	50.15785759
172	49.87072277
173	49.48509285
174	49.17318303
175	48.89248676
176	48.60765942
177	48.33881571
178	48.06848976
179	47.76354936
180	47.49727571
181	47.19861927
182	46.93496901
183	46.68236062
184	46.39962026
185	46.14715964
186	45.76943218
187	45.52432389
188	45.2477064
189	44.87585799
190	44.49894141
191	44.25240854
192	44.0021228
193	43.77982232
194	43.55711841
195	43.2270701
196	42.90101391
197	42.53849279
198	42.31732428
199	41.96964091
200	41.76074969
201	41.55679975
202	41.21857389
203	41.0191029
204	40.69072514
205	40.48942185
206	40.19172474
207	39.95797356
208	39.76215915
209	39.56551546
210	39.42963397
211	39.23631103
212	39.04932384
213	38.85864427
214	38.50138563
215	38.28821656
216	38.07445743
217	37.89192956
218	37.71273493
219	37.52048706
220	37.2357233
221	37.05789196
222	36.73816344
223	36.56761176
224	36.40089922
225	36.21145694
226	36.04853714
227	35.88760716
228	35.6440625
229	35.48186133
230	35.32265122
231	35.16616032
232	35.01552368
233	34.86440271
234	34.71744038
235	34.57273868
236	34.43095869
237	34.28960559
238	34.07864926
239	33.94101998
240	33.80046465
241	33.66137672
242	33.39580493
243	33.26147788
244	33.13262378
245	32.99712025
246	32.85972356
247	32.72568026
248	32.59901028
249	32.44636673
250	32.31565096
251	32.19836016
252	32.07821163
253	31.96438816
254	31.72810032
255	31.61037173
256	31.49865246
257	31.39065357
258	31.28417593
259	31.17948721
260	31.07597647
261	30.96873702
262	30.8672684
263	30.7593429
264	30.65739258
265	30.55336563
266	30.45321591
267	30.35971805
268	30.25376606
269	30.16225265
270	30.06577218
271	29.70910212
272	29.61516914
273	29.28603851
274	29.20036163
275	29.1146306
276	28.80028185
277	28.71638497
278	28.6328639
279	28.54312265
280	28.23557356
281	28.15484517
282	28.07561266
283	27.72657612
284	27.64399413
285	27.29637388
286	27.21991221
287	27.14138098
288	27.06148438
289	26.80696701
290	26.51100678
291	26.23376188
292	26.16177715
293	25.89618768
294	25.82157454
295	25.74225824
296	25.42300338
297	25.35484034
298	25.283186
299	25.03075697
300	24.96187
301	24.8919387
302	24.6752952
303	24.60939691
304	24.39649085
305	24.33147899
306	24.12423997
307	24.05930104
308	23.99664269
309	23.78418038
310	23.72283799
311	23.4940096
312	23.43398087
313	23.24170068
314	23.05068027
315	22.9856011
316	22.79800482
317	22.5853256
318	22.45205048
319	22.39360083
320	22.33822655
321	22.07985342
322	21.80235007
323	21.74152056
324	21.68625842
325	21.63113211
326	21.41714316
327	21.36565361
