iter	Passed	Remaining
0	2	2549
1	4	2487
2	7	2638
3	11	2745
4	13	2615
5	15	2522
6	16	2320
7	18	2297
8	21	2395
9	24	2418
10	26	2404
11	29	2387
12	31	2389
13	33	2389
14	36	2385
15	39	2411
16	41	2408
17	43	2393
18	46	2387
19	48	2399
20	51	2388
21	55	2451
22	57	2435
23	59	2422
24	61	2411
25	64	2415
26	66	2410
27	69	2421
28	71	2408
29	74	2393
30	76	2385
31	78	2384
32	80	2373
33	83	2362
34	85	2367
35	88	2363
36	91	2371
37	93	2370
38	95	2360
39	98	2352
40	101	2371
41	103	2368
42	106	2359
43	108	2354
44	110	2347
45	112	2338
46	115	2336
47	117	2335
48	119	2325
49	122	2321
50	124	2317
51	126	2311
52	128	2302
53	131	2301
54	134	2302
55	136	2295
56	138	2294
57	140	2287
58	142	2279
59	145	2274
60	148	2288
61	150	2282
62	153	2282
63	155	2277
64	157	2272
65	160	2267
66	162	2265
67	165	2264
68	165	2239
69	168	2236
70	170	2232
71	172	2227
72	175	2223
73	177	2219
74	180	2222
75	182	2220
76	183	2202
77	185	2198
78	188	2193
79	190	2188
80	192	2183
81	194	2179
82	197	2177
83	199	2175
84	201	2171
85	203	2166
86	206	2162
87	208	2157
88	210	2154
89	213	2157
90	214	2142
91	217	2142
92	220	2146
93	224	2165
94	228	2176
95	231	2176
96	234	2182
97	237	2185
98	239	2183
99	243	2190
100	246	2194
101	248	2183
102	250	2185
103	253	2185
104	258	2202
105	263	2219
106	265	2217
107	268	2217
108	271	2215
109	274	2218
110	279	2241
111	284	2251
112	287	2256
113	290	2254
114	292	2250
115	294	2246
116	297	2244
117	299	2240
118	301	2235
119	304	2232
120	308	2238
121	310	2235
122	313	2232
123	315	2229
124	317	2224
125	320	2220
126	322	2218
127	325	2218
128	328	2216
129	330	2211
130	332	2206
131	334	2202
132	337	2199
133	340	2197
134	342	2193
135	344	2189
136	347	2186
137	349	2183
138	351	2178
139	354	2176
140	356	2174
141	359	2173
142	362	2171
143	364	2169
144	367	2165
145	370	2166
146	373	2166
147	375	2162
148	376	2149
149	378	2144
150	380	2140
151	381	2129
152	384	2125
153	387	2126
154	389	2122
155	391	2120
156	394	2118
157	397	2115
158	398	2107
159	401	2107
160	403	2104
161	405	2099
162	406	2088
163	409	2086
164	411	2083
165	413	2079
166	416	2078
167	421	2085
168	422	2076
169	425	2075
170	428	2075
171	430	2074
172	434	2076
173	436	2074
174	439	2073
175	442	2072
176	445	2070
177	448	2069
178	451	2069
179	457	2082
180	459	2080
181	462	2076
182	462	2066
183	465	2065
184	468	2064
185	471	2062
186	474	2060
187	476	2059
188	480	2060
189	484	2064
190	490	2077
191	493	2076
192	496	2076
193	499	2076
194	502	2075
195	506	2075
196	509	2074
197	512	2075
198	515	2075
199	518	2073
200	520	2070
201	522	2064
202	525	2061
203	527	2058
204	530	2058
205	533	2057
206	536	2054
207	538	2051
208	541	2050
209	543	2043
210	546	2045
211	549	2042
212	551	2038
213	552	2029
214	555	2028
215	557	2024
216	560	2023
217	564	2023
218	567	2022
219	571	2025
220	574	2024
221	577	2024
222	580	2022
223	583	2019
224	586	2019
225	588	2016
226	591	2013
227	594	2011
228	595	2005
229	597	2001
230	600	1999
231	603	1996
232	605	1992
233	609	1994
234	611	1991
235	615	1991
236	617	1987
237	619	1984
238	623	1985
239	627	1986
240	630	1986
241	632	1982
242	635	1978
243	637	1976
244	640	1973
245	643	1972
246	646	1971
247	649	1969
248	654	1973
249	658	1976
250	662	1975
251	664	1973
252	668	1972
253	671	1972
254	677	1978
255	681	1981
256	684	1978
257	687	1978
258	694	1986
259	698	1986
260	701	1985
261	705	1987
262	708	1986
263	711	1983
264	714	1981
265	716	1978
266	719	1974
267	723	1975
268	726	1973
269	729	1971
270	731	1968
271	734	1964
272	737	1964
273	741	1965
274	744	1962
275	746	1958
276	749	1955
277	754	1959
278	758	1959
279	760	1955
280	762	1951
281	765	1949
282	769	1950
283	772	1948
284	775	1945
285	777	1940
286	779	1937
287	784	1938
288	787	1937
289	790	1934
290	792	1930
291	795	1927
292	799	1928
