TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;7,00;;-3,15;0,82;0,30;30,10;1,60;-22,81;44,76;85,66;40,90;0,75;0,72;-3,70;-0,39;0,74;-25,92;-9,58;-0,51;0,37;0,62;0,42;0,13;;641.433,39;8,58;-2,22;-0,03;828.049.712,00
ABCB4;24,61;6,41;6,01;1,02;0,10;25,50;17,06;15,50;5,46;5,46;;;0,93;-2,85;-0,10;0,05;16,95;1,73;;0,10;0,91;0,11;18,70;17,80;15.402.170,61;24,15;4,09;-0,33;5.830.997.322,56
ABEV3;12,71;5,75;13,28;2,22;1,45;50,30;22,59;18,29;10,75;10,00;-0,75;-0,15;2,43;54,02;-2,00;1,11;16,71;10,94;18,63;0,65;0,34;0,60;10,72;15,72;341.222.476,32;5,73;0,96;0,88;200.231.221.039,64
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;0,59;;-6,70;0,90;0,19;12,62;9,03;-3,39;2,51;6,03;3,51;1,26;0,23;0,90;-0,59;1,46;-13,42;-2,86;10,53;0,21;0,79;0,84;;;2.764.164,48;0,66;-0,09;-0,03;733.018.320,47
AESB3;10,35;;39,48;1,39;0,31;35,54;28,78;4,90;6,72;16,68;9,96;2,06;1,94;19,07;-0,38;1,11;3,53;0,80;5,04;0,23;0,72;0,16;;;25.938.601,10;7,43;0,26;-0,58;6.229.947.668,85
AFLT3;7,15;3,67;14,72;1,72;1,44;57,31;45,58;44,72;14,44;14,07;-0,38;-0,05;6,58;14,79;-1,80;1,98;11,71;9,80;10,57;0,84;0,16;0,22;24,96;19,61;5.952,24;4,15;0,49;-0,20;451.055.605,00
AGRO3;23,70;13,55;9,49;1,11;0,69;30,65;20,17;20,86;9,81;11,67;1,85;0,21;1,98;3,39;-1,13;2,14;11,68;7,31;7,59;0,63;0,37;0,35;27,22;15,22;8.727.114,29;21,40;2,50;-0,22;2.433.597.622,80
AGXY3;1,65;2,40;-1,12;0,28;0,04;12,31;3,90;-2,43;0,70;3,29;2,59;1,03;0,03;1,23;-0,17;1,04;-24,61;-3,22;11,82;0,13;0,87;1,33;;;462.892,77;6,00;-1,48;0,00;281.861.231,85
AHEB3;16,10;;1,41;8,24;0,37;33,84;21,93;17,66;1,14;1,12;-0,02;-0,17;0,25;2,40;-0,65;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;5.567,50;1,95;11,39;0,00;137.681.829,04
AHEB5;16,61;;1,46;8,50;0,38;33,84;21,93;17,66;1,18;1,12;-0,02;-0,17;0,26;2,48;-0,67;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;1.661,00;1,95;11,39;0,00;137.681.829,04
AHEB6;17,02;;1,49;8,71;0,39;33,84;21,93;17,66;1,20;1,12;-0,02;-0,17;0,26;2,54;-0,69;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;1.702,00;1,95;11,39;0,00;137.681.829,04
ALLD3;7,19;6,71;8,81;0,43;0,19;12,55;3,39;1,31;3,41;4,69;1,28;0,16;0,12;0,66;-0,63;1,73;4,90;2,20;7,91;0,45;0,55;1,67;14,71;32,13;147.154,45;16,66;0,82;2,87;670.255.984,58
ALOS3;24,61;2,11;4,51;0,96;0,50;96,37;264,05;140,12;2,39;2,11;-0,28;-0,11;6,31;13,77;-0,56;1,58;21,32;11,20;27,21;0,53;0,43;0,08;25,65;86,64;82.223.545,06;25,62;5,46;0,00;14.124.587.330,49
ALPA3;10,51;;-25,50;1,33;0,91;40,37;-9,97;-7,36;-18,80;-20,23;-2,17;0,15;1,88;3,23;-1,50;3,51;-5,22;-3,56;-8,00;0,68;0,32;0,48;2,36;;47.511,03;7,89;-0,41;0,15;6.897.271.696,16
ALPA4;9,69;;-23,51;1,23;0,84;40,37;-9,97;-7,36;-17,34;-20,23;-2,17;0,15;1,73;2,98;-1,38;3,51;-5,22;-3,56;-8,00;0,68;0,32;0,48;2,36;;42.588.628,84;7,89;-0,41;0,14;6.897.271.696,16
ALPK3;4,55;;-9,12;2,60;0,38;29,90;10,81;-8,39;7,07;15,72;8,65;3,17;0,76;-3,30;-0,45;0,55;-28,46;-4,21;7,28;0,15;0,85;0,50;3,17;;541.185,80;1,75;-0,50;0,26;987.459.313,75
ALSC3;27,75;;38,57;2,20;1,20;75,71;65,32;27,78;16,41;14,85;-1,56;-0,21;10,72;9,41;-1,43;5,39;5,69;3,12;11,21;0,55;0,44;0,11;2,54;19,34;;12,64;0,72;0,58;5.694.242.307,75
ALUP11;30,38;5,93;12,43;1,23;0,33;75,83;71,87;23,53;4,07;7,98;3,91;1,18;2,92;3,65;-0,40;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;18.762.066,23;24,75;2,44;-0,58;9.258.565.295,84
ALUP3;10,15;5,91;12,46;1,23;0,33;75,83;71,87;23,53;4,08;7,98;3,91;1,18;2,93;3,65;-0,41;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;128.105,13;8,25;0,81;-0,59;9.258.565.295,84
ALUP4;10,12;5,93;12,42;1,23;0,33;75,83;71,87;23,53;4,07;7,98;3,91;1,18;2,92;3,64;-0,40;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;167.966,81;8,25;0,81;-0,58;9.258.565.295,84
AMAR3;2,32;;-0,27;1,48;0,06;35,54;-16,35;-26,68;-0,43;-3,48;-3,04;10,33;0,07;-0,48;-0,11;0,75;-554,09;-24,09;-27,15;0,04;0,96;0,90;-0,89;;1.718.517,67;1,57;-8,71;0,00;159.079.110,24
AMBP3;15,29;0,88;-20,12;2,58;0,24;23,51;18,46;-2,69;2,93;8,12;5,19;4,56;0,54;1,02;-0,42;2,30;-12,82;-1,21;8,16;0,09;0,84;0,45;83,52;;10.651.388,33;5,92;-0,76;0,08;2.554.070.177,01
