,Unnamed: 0,ticker,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5,resultado
0,0,MSRO3_2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,5.33,22.72,0.27,0.73,0.72,24.21,19.0,4.46,6.86,12.56,3.33,4.4,0.49,0.0,0.0,
1,1,MSRO3_2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,3.85,8.41,0.26,0.74,0.53,29.26,25.83,11.81,2.59,5.9,1.52,6.29,0.59,0.0,0.0,
2,2,MSRO3_2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,3.84,0.46,0.54,0.68,33.48,0.0,20.37,4.32,4.19,1.91,8.48,0.44,0.0,0.0,
3,3,MSRO3_2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,3.71,8.18,0.34,0.66,1.33,27.76,22.31,10.11,15.16,25.3,8.62,2.43,0.57,0.0,0.0,
4,4,MSRO3_2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,28.56,0.0,1.27,5.66,5.66,0.41,0.59,0.0,30.84,18.46,18.46,21.38,25.9,10.55,2.41,0.49,0.0,0.0,
5,5,MSRO3_2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,28.78,0.0,1.29,5.43,5.43,0.37,0.63,0.0,29.87,16.72,16.72,0.54,0.77,0.28,8.85,0.52,9.87,33.97,
6,6,MSRO3_2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,28.11,0.0,2.25,0.0,7.88,0.22,0.78,1.02,35.34,0.0,22.03,1.84,2.38,0.53,7.05,0.29,3.85,0.0,
7,7,MSRO3_2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,28.64,0.0,2.81,3.67,6.56,0.19,0.81,0.95,32.78,41.33,23.11,1.0,1.85,0.35,9.0,0.35,15.89,13.57,
8,8,MSRO3_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.95,0.0,2.49,3.49,7.07,0.21,0.79,0.87,30.06,30.43,15.05,0.9,2.11,0.44,7.88,0.49,14.18,0.0,
9,9,MSRO3_2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,2.24,0.0,2.71,3.11,5.26,0.21,0.79,0.37,50.13,54.29,32.16,8.0,12.81,2.73,10.47,0.34,9.2,10.29,
10,10,MSRO3_2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.54,0.0,2.27,2.62,3.25,0.26,0.74,0.51,60.64,53.0,42.85,9.62,15.69,4.06,17.05,0.42,8.72,93.53,
11,11,MSRO3_2023,0.0,0.0,249.03,323.4,427.07,115.93,67.48,536.4,86.38,325.8,430.25,0.38,2.82,114.31,1.85,2.41,3.18,0.27,0.73,0.63,39.77,35.85,27.14,6.34,13.62,3.69,15.5,0.58,8.72,92.1,
12,12,MOSI3_2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.65,16.35,16.35,12.82,0.0,0.0,0.0,0.0,0.0,0.0,
13,13,MOSI3_2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.45,7.01,7.01,6.32,0.0,0.0,0.0,0.0,0.0,0.0,
