,Unnamed: 0,ticker,dy,p_l,p_vp,p_ebita,p_ebit,p_sr,p_ativo,p_capitlgiro,p_ativocirculante,ev_ebitda,ev_ebit,lpa,vpa,peg_Ratio,dividaliquida_patrimonioliquido,dividaliquida_ebitda,dividaliquida_ebit,patrimonio_ativo,passivo_ativo,liquidezcorrente,margembruta,margemebitda,margemebit,margemliquida,roe,roa,roic,giro_ativos,receitas_cagr5,lucros_cagr5,resultado
16,16,MOSI3_2021,0.01,33.58,1.63,49.13,79.52,4.95,1.52,1.99,8.74,24.72,40.01,0.26,5.27,0.0,0.81,24.41,39.51,0.93,0.07,13.23,89.47,10.08,6.23,14.75,4.84,4.52,0.25,0.31,0.0,0.0,16.871785714285714
17,17,MOSI3_2022,0.0,32.29,1.56,47.23,76.45,4.76,1.46,1.91,8.4,22.82,36.94,0.26,5.27,0.0,0.81,24.41,39.51,0.93,0.07,13.23,89.47,10.08,6.23,14.75,4.84,4.52,0.25,0.31,0.0,0.0,7.84433962264151
30,30,EEEL4_2019,3.38,11.63,1.87,11.6,10.57,4.18,879.67,8.0,1.11,10.28,9.36,40.41,251.3,0.0,0.06,0.38,0.34,0.47,0.53,2.04,44.81,36.05,39.59,35.97,16.08,7.56,13.88,0.21,10.14,0.0,117.7009090909091
31,31,EEEL4_2020,5.24,19.92,2.19,11.5,9.78,4.19,1.0,4.67,1.45,10.31,8.76,28.87,262.67,0.0,0.01,0.06,0.05,0.46,0.54,3.19,55.28,36.4,42.8,21.01,10.99,5.0,13.55,0.24,14.95,26.84,158.2307407407407
32,32,EEEL4_2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.86,209.38,0.0,0.08,0.44,0.43,0.44,0.56,1.96,55.97,31.62,32.18,6.91,4.23,1.87,3.05,0.27,8.6,37.86,251.60399999999998
33,33,EEEL4_2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.03,182.72,0.0,0.43,0.65,0.65,0.37,0.63,1.84,61.09,81.94,81.88,64.47,51.46,19.18,31.79,0.3,6.73,18.11,360.2175
40,40,AZUL4_2019,0.0,30.46,20.8,29.57,61.24,6.4,3.81,26.88,4.86,8.72,18.07,1.91,2.8,0.0,0.0,0.73,1.51,0.18,1.18,0.6,0.66,21.63,10.45,21.0,68.29,12.52,0.0,0.6,14.54,0.0,46.40449494949495
41,41,AZUL4_2020,0.0,4.57,3.5,121.71,35.36,8.61,3.13,10.32,4.77,43.44,12.62,8.61,11.24,0.0,0.0,10.34,3.0,0.9,1.9,0.53,4.97,7.08,24.36,188.62,76.58,68.6,24.18,0.36,1.7,0.0,29.549116465863452
42,42,AZUL4_2021,0.0,7.3,1.68,19.23,561.31,3.08,1.66,5.25,2.42,18.92,552.3,3.34,14.52,0.0,0.0,13.65,398.47,0.99,1.99,0.5,18.56,16.03,0.55,42.23,22.98,22.73,0.83,0.54,8.38,0.0,37.0234008097166
43,43,AZUL4_2022,0.0,19.27,0.73,3.95,9.74,0.87,0.74,1.37,1.01,7.49,18.46,0.57,15.03,0.0,0.0,6.4,15.77,1.02,2.02,0.32,17.47,22.1,8.96,4.53,3.8,3.86,33.94,0.85,15.41,0.0,18.17172
44,44,AZUL4_2023,0.0,16.57,0.95,0.0,9.07,1.12,1.03,2.49,1.48,0.0,13.77,0.97,16.83,0.37,0.0,0.0,11.28,1.09,2.09,0.42,21.1,0.0,12.33,6.75,5.74,6.23,42.22,0.92,15.41,0.0,14.35100806451613
71,71,BSEV3_2019,0.0,1.86,12.96,1.27,7.92,0.44,0.28,14.73,0.42,3.32,20.68,1.52,0.22,0.0,8.83,2.05,12.76,0.06,0.94,1.58,11.59,34.73,5.58,23.72,294.57,17.54,1.49,0.74,7.69,0.0,2.5853807106598983
72,72,BSEV3_2020,0.0,33.6,5.41,1.39,3.17,0.53,0.41,0.85,0.69,2.94,6.69,0.16,0.99,0.0,0.0,1.55,3.53,0.08,1.07,0.46,25.99,38.14,16.74,1.58,16.1,1.21,21.24,0.77,10.88,0.0,4.0948995983935745
73,73,BSEV3_2021,0.0,10.22,10.84,1.18,3.17,0.57,0.78,1.59,1.13,2.04,5.46,0.88,0.83,0.06,0.0,0.86,2.3,0.07,1.07,0.39,26.77,47.91,17.92,5.55,106.05,7.59,30.9,1.37,10.88,0.0,8.081333333333333
80,80,PRNR3_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,9.99,0.06,5.82,0.0,0.21,2.76,9.99,0.67,0.33,3.08,11.21,6.93,1.91,0.88,0.95,0.63,4.38,0.72,0.0,0.0,9.58589861751152
81,81,PRNR3_2021,0.77,18.87,1.19,6.61,13.35,0.63,0.73,2.59,1.69,6.37,12.88,0.37,5.89,0.0,0.04,0.23,0.47,0.61,0.39,1.99,16.27,9.56,4.73,3.35,6.33,3.87,6.35,1.16,16.24,18.25,8.188906882591093
82,82,PRNR3_2022,4.44,12.88,1.21,1.99,2.5,0.32,0.42,2.75,0.98,2.31,2.89,0.52,5.54,0.0,0.19,0.32,0.4,0.35,0.64,1.37,24.41,16.07,12.84,2.49,9.39,3.26,22.48,1.31,28.03,0.0,6.15568
83,83,PRNR3_2023,0.0,0.0,2.0,3.58,4.9,0.45,0.63,3.78,1.28,5.0,6.83,0.01,5.84,16.68,0.79,1.41,1.93,0.31,0.67,1.49,20.94,12.57,9.2,0.03,0.12,0.04,13.66,1.39,28.03,0.0,9.594959677419356
89,89,PGMN3_2020,0.0,41.68,2.06,7.01,12.44,0.58,0.7,3.18,1.54,7.46,13.24,0.22,4.37,0.0,0.13,0.45,0.8,0.34,0.66,1.67,30.92,8.33,4.69,1.4,4.95,1.67,10.44,1.19,8.17,25.42,7.812962962962963
90,90,PGMN3_2021,0.0,25.23,1.99,6.38,11.09,0.55,0.63,3.14,1.36,7.36,12.8,0.37,4.71,0.0,0.31,0.98,1.71,0.32,0.68,1.6,32.15,8.64,4.97,2.18,7.87,2.5,10.8,1.15,6.32,31.57,9.432753036437246
91,91,PGMN3_2022,0.0,7.37,0.83,1.91,3.05,0.21,0.23,1.63,0.43,3.29,5.26,0.59,5.26,0.0,0.6,1.38,2.21,0.27,0.73,1.41,32.11,11.09,6.93,2.87,11.29,3.07,15.4,1.07,9.03,26.45,5.72356
92,92,PGMN3_2023,4.7,10.67,0.84,2.13,4.44,0.2,0.25,1.51,0.5,3.34,6.94,0.37,4.72,0.03,0.47,1.2,2.5,0.29,0.71,1.48,31.86,9.14,4.4,1.83,7.86,2.31,7.28,1.26,9.03,0.0,3.2958467741935484
97,97,HAPV3_2019,0.43,50.53,5.91,36.49,41.55,7.62,3.45,103.25,4.17,37.09,42.23,1.26,10.8,0.0,0.1,0.6,0.68,0.58,0.42,1.24,39.65,20.89,18.34,15.08,11.71,6.82,8.06,0.45,0.0,0.0,8.857323232323232
98,98,HAPV3_2020,2.13,72.36,7.24,29.23,44.74,6.63,4.19,41.04,5.66,29.02,44.42,0.21,2.11,0.0,0.05,0.21,0.32,0.58,0.42,1.65,39.11,22.67,14.81,9.16,10.01,5.79,9.28,0.63,28.32,21.07,12.03887550200803
99,99,HAPV3_2021,0.6,81.15,3.82,29.87,74.35,4.09,1.92,302.04,2.28,32.48,80.85,0.13,2.72,0.0,0.33,2.61,6.5,0.5,0.51,1.04,31.02,13.68,5.5,5.04,4.71,2.37,3.31,0.47,26.62,1.72,14.528097165991904
100,100,HAPV3_2022,0.0,46.78,0.74,19.88,232.84,1.53,0.5,79.35,0.56,23.78,278.51,0.11,6.82,0.0,0.15,3.9,45.67,0.67,0.33,1.06,23.81,7.69,0.66,3.27,1.59,1.06,1.37,0.32,43.91,0.0,8.18368
101,101,HAPV3_2023,0.0,32.75,0.68,15.77,210.2,1.24,0.45,78.8,0.51,18.35,244.53,0.14,6.51,0.11,0.11,2.57,34.32,0.66,0.34,1.05,24.41,7.89,0.59,3.8,2.09,1.37,0.36,0.36,43.91,0.0,4.011733870967742
112,112,CASN3_2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,1.76,0.0,0.88,3.02,4.06,0.35,0.65,1.32,55.08,32.46,24.13,10.65,9.52,3.36,8.24,0.32,8.58,9.88,10.770000000000001
113,113,CASN3_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.76,0.0,1.01,3.58,4.83,0.35,0.65,0.87,50.85,32.69,24.24,9.84,8.5,2.99,7.85,0.3,7.49,59.39,11.09
114,114,CASN3_2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.91,0.0,0.79,3.49,4.77,0.43,0.57,1.08,49.62,31.27,22.88,11.08,8.07,3.45,6.77,0.31,5.83,36.6,12.68
115,115,CASN3_2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.96,0.0,0.87,4.69,6.87,0.43,0.57,0.76,44.37,24.53,16.75,6.52,4.94,2.12,5.36,0.32,6.67,0.0,11.78
116,116,CASN3_2023,0.23,164.59,4.97,23.09,37.09,6.27,2.19,31.74,2.48,25.47,40.91,0.06,1.93,4.36,0.83,3.88,6.22,0.44,0.56,0.63,43.12,27.16,16.91,3.81,3.02,1.33,6.32,0.35,6.67,0.0,9.61
128,128,SPRI3_2019,0.0,4.45,0.71,4.1,4.07,0.0,0.67,2.33,0.99,3.56,3.54,2.2,13.8,0.0,0.1,0.0,0.56,0.94,0.06,7.86,0.0,0.0,0.0,0.0,15.92,14.98,17.38,0.0,0.0,0.0,10.285866666666667
129,129,SPRI3_2020,0.0,3.32,2.45,0.0,3.0,0.0,2.36,4.61,4.93,0.0,2.46,6.54,8.86,0.01,0.14,0.0,0.17,0.96,0.04,66.47,0.0,0.0,0.0,0.0,73.82,71.18,81.66,0.0,0.0,0.0,11.866782608695653
144,144,MNPR3_2019,0.0,1.27,0.11,1.07,1.26,0.18,0.21,0.1,0.31,1.07,1.26,4.65,55.3,0.0,0.0,0.0,0.01,1.96,2.97,0.13,28.37,16.68,14.13,14.01,8.4,16.51,8.29,1.18,4.71,0.0,5.021036269430051
145,145,MNPR3_2020,0.0,3.0,0.13,1.12,1.31,0.19,0.2,0.12,0.36,1.13,1.32,2.33,52.86,0.0,0.0,0.01,0.01,1.54,2.54,0.21,28.27,17.04,14.58,6.37,4.41,6.78,8.24,1.06,4.62,0.0,5.465358649789029
146,146,MNPR3_2021,0.0,1.34,0.13,0.73,0.82,0.14,0.17,0.12,0.33,0.72,0.81,4.76,48.43,0.0,0.0,0.01,0.01,1.29,2.29,0.25,25.05,19.37,17.37,10.57,9.82,12.65,13.57,1.2,10.24,0.0,10.761740890688259
147,147,MNPR3_2022,0.0,6.7,0.13,0.86,1.0,0.12,0.15,0.12,0.32,0.66,0.76,0.92,47.29,0.0,0.0,0.2,0.23,1.13,2.13,0.3,28.5,13.93,12.01,1.79,1.95,2.19,11.16,1.23,13.94,0.0,6.6327642276422765
148,148,MNPR3_2023,0.0,33.43,0.42,3.25,4.28,0.36,0.4,0.36,0.96,3.25,4.29,0.57,45.41,0.3,0.0,0.0,0.0,0.97,1.97,0.34,27.89,10.94,8.31,1.06,1.25,1.21,8.69,1.14,13.94,0.0,12.320209205020921
160,160,GPAR3_2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,50.65,0.0,0.0,0.0,0.49,1.16,2.16,8.52,52.87,0.0,45.98,34.33,4.33,5.03,4.09,0.15,32.73,0.0,32.0459375
161,161,GPAR3_2020,0.0,12.88,1.47,0.0,8.94,7.7,1.05,38.86,1.14,0.0,8.76,2.14,18.67,0.0,0.03,0.0,0.18,0.7,0.3,4.23,68.89,0.0,86.08,59.78,11.73,8.18,10.5,0.14,40.68,0.0,24.260983606557378
162,162,GPAR3_2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,20.36,0.0,0.1,0.0,0.73,0.71,0.29,4.08,78.63,0.0,81.72,62.7,10.7,7.63,8.98,0.12,9.31,34.82,48.93105263157895
163,163,GPAR3_2022,33.67,4.13,3.0,0.0,3.07,18.69,2.73,5.06,7.0,0.0,2.42,10.9,15.01,0.01,0.64,0.0,0.65,0.91,0.09,8.74,82.93,0.0,608.39,452.68,72.59,66.13,62.8,0.15,9.31,10.07,30.821951219512197
164,164,GPAR3_2023,0.0,91.48,5.48,0.0,0.0,551.01,5.24,18.65,7.39,0.0,0.0,0.55,9.13,0.96,0.25,0.0,0.0,0.96,0.04,30.83,23.58,0.0,1.12,602.31,5.99,5.73,1.18,0.01,9.31,50.35,44.52470588235294
176,176,MNDL3_2019,0.0,8.41,0.6,1.27,1.57,0.18,0.08,0.14,0.11,4.16,5.17,4.18,58.59,0.0,0.0,2.89,3.59,0.14,1.14,0.29,33.66,14.15,11.39,2.13,7.13,1.0,90.38,0.47,5.04,0.0,33.72761904761905
177,177,MNDL3_2020,0.0,6.92,0.41,0.0,1.28,0.12,0.06,0.1,0.08,0.0,5.19,3.61,61.6,0.0,0.0,0.0,3.91,0.14,1.14,0.34,33.68,0.0,9.39,1.74,5.86,0.81,91.13,0.46,4.94,0.0,25.424745762711865
178,178,MNDL3_2021,0.0,0.15,0.12,0.0,0.91,0.13,0.07,0.07,0.1,0.0,3.99,230.88,291.91,0.0,0.0,0.0,3.08,0.58,1.58,0.26,36.6,0.0,13.82,82.86,79.09,45.88,19.05,0.55,10.41,0.0,42.4113488372093
179,179,MNDL3_2022,0.0,0.11,0.61,0.0,1.06,0.13,0.08,0.67,0.12,0.0,5.14,355.6,63.9,0.0,2.35,0.0,4.09,0.12,0.88,0.76,37.25,0.0,12.0,115.86,556.53,68.63,34.51,0.59,11.73,0.0,30.005462962962966
180,180,MNDL3_2023,0.0,0.14,0.84,0.0,1.45,0.16,0.1,0.73,0.16,0.0,5.77,366.89,62.85,0.0,2.48,0.0,4.31,0.12,0.88,0.73,37.25,0.0,10.99,111.55,583.75,68.71,38.08,0.62,11.73,0.0,50.79897959183673
