,ticker,Preco_Real,Preco_catboost,Diferenca
0,MSRO3,"R$ 702,50","R$ 240,82","R$ 461,68"
1,MOSI3,"R$ 8,24","R$ 112,89","R$ 104,65"
2,EEEL4,"R$ 410,00","R$ 309,14","R$ 100,86"
3,AZUL4,"R$ 13,32","R$ 86,84","R$ 73,52"
4,GUAR4,"R$ 151,00","R$ 94,28","R$ 56,72"
5,BSEV3,"R$ 9,00","R$ 58,90","R$ 49,90"
6,PRNR3,"R$ 11,68","R$ 57,21","R$ 45,53"
7,PGMN3,"R$ 2,80","R$ 46,21","R$ 43,41"
8,HAPV3,"R$ 3,82","R$ 46,07","R$ 42,25"
9,CASN3,"R$ 9,61","R$ 51,60","R$ 41,99"
10,SPRI3,"R$ 21,72","R$ 61,61","R$ 39,89"
11,MNPR3,"R$ 19,50","R$ 58,75","R$ 39,25"
12,GPAR3,"R$ 42,77","R$ 78,94","R$ 36,17"
13,MNDL3,"R$ 41,00","R$ 76,63","R$ 35,63"
14,CASN4,"R$ 8,37","R$ 43,45","R$ 35,08"
15,SPRI6,"R$ 11,00","R$ 45,51","R$ 34,51"
16,NINJ3,"R$ 5,16","R$ 36,38","R$ 31,22"
17,SPRI5,"R$ 8,52","R$ 39,73","R$ 31,21"
18,FNCN3,"R$ 14,25","R$ 43,72","R$ 29,47"
19,ELET5,"R$ 99,00","R$ 73,99","R$ 25,01"
20,ENMT3,"R$ 80,00","R$ 55,42","R$ 24,58"
21,AVLL3,"R$ 4,10","R$ 26,66","R$ 22,56"
22,ENMT4,"R$ 78,50","R$ 56,50","R$ 22,00"
23,LCAM3,"R$ 24,15","R$ 45,86","R$ 21,71"
24,ITEC3,"R$ 40,10","R$ 59,74","R$ 19,64"
25,CXSE3,"R$ 16,12","R$ 35,69","R$ 19,57"
26,SNSY3,"R$ 10,40","R$ 29,85","R$ 19,45"
27,NORD3,"R$ 9,42","R$ 28,82","R$ 19,40"
28,MMAQ3,"R$ 0,00","R$ 19,08","R$ 19,08"
29,CTSA8,"R$ 0,00","R$ 18,79","R$ 18,79"
30,SNSY5,"R$ 6,05","R$ 24,06","R$ 18,01"
31,QGEP3,"R$ 14,54","R$ 31,83","R$ 17,29"
32,SBSP3,"R$ 75,96","R$ 93,18","R$ 17,22"
33,BPAT33,"R$ 44,05","R$ 58,78","R$ 14,73"
34,RSUL4,"R$ 83,98","R$ 69,66","R$ 14,32"
35,SNSY6,"R$ 13,33","R$ 27,24","R$ 13,91"
36,BNBR3,"R$ 114,00","R$ 100,21","R$ 13,79"
37,HAGA3,"R$ 2,92","R$ 15,34","R$ 12,42"
38,ALOS3,"R$ 24,66","R$ 36,96","R$ 12,30"
39,LHER3,"R$ 0,00","R$ 12,13","R$ 12,13"
40,LHER4,"R$ 0,00","R$ 12,13","R$ 12,13"
41,CATA4,"R$ 0,00","R$ 11,95","R$ 11,95"
42,BPAR3,"R$ 182,07","R$ 170,69","R$ 11,38"
43,IGSN3,"R$ 0,00","R$ 11,24","R$ 11,24"
44,PFRM3,"R$ 5,22","R$ 16,44","R$ 11,22"
45,MYPK3,"R$ 13,74","R$ 24,68","R$ 10,94"
46,MPLU3,"R$ 26,80","R$ 37,53","R$ 10,73"
47,BALM4,"R$ 9,80","R$ 20,43","R$ 10,63"
48,POMO3,"R$ 5,75","R$ 16,35","R$ 10,60"
49,BOBR3,"R$ 0,00","R$ -10,12","R$ 10,12"
50,BALM3,"R$ 10,25","R$ 20,17","R$ 9,92"
51,VSPT3,"R$ 4,99","R$ 14,80","R$ 9,81"
52,ENMA3B,"R$ 50,49","R$ 60,16","R$ 9,67"
53,BAUH4,"R$ 78,80","R$ 88,11","R$ 9,31"
54,FHER3,"R$ 5,74","R$ -3,53","R$ 9,27"
55,SANB4,"R$ 15,11","R$ 24,01","R$ 8,90"
56,CEEB6,"R$ 60,68","R$ 51,79","R$ 8,89"
57,BRML3,"R$ 8,26","R$ 16,94","R$ 8,68"
58,ARZZ3,"R$ 59,03","R$ 50,44","R$ 8,59"
59,PATI3,"R$ 27,70","R$ 36,25","R$ 8,55"
60,SMFT3,"R$ 25,22","R$ 16,77","R$ 8,45"
61,ORVR3,"R$ 38,67","R$ 30,23","R$ 8,44"
62,ALPA3,"R$ 10,31","R$ 18,71","R$ 8,40"
63,FRIO3,"R$ 296,65","R$ 288,38","R$ 8,27"
64,SQIA3,"R$ 27,37","R$ 19,13","R$ 8,24"
65,CLSC4,"R$ 67,50","R$ 59,34","R$ 8,16"
66,ODPV3,"R$ 12,73","R$ 20,82","R$ 8,09"
67,IGTA3,"R$ 33,00","R$ 40,95","R$ 7,95"
68,COGN3,"R$ 2,50","R$ 10,26","R$ 7,76"
69,MDIA3,"R$ 41,04","R$ 33,49","R$ 7,55"
70,WEGE3,"R$ 38,00","R$ 30,57","R$ 7,43"
71,NTCO3,"R$ 18,15","R$ 25,47","R$ 7,32"
72,RSUL3,"R$ 0,00","R$ 7,16","R$ 7,16"
73,CGAS5,"R$ 113,98","R$ 106,87","R$ 7,11"
74,TUPY3,"R$ 26,77","R$ 19,74","R$ 7,03"
75,GOLL4,"R$ 1,77","R$ 8,77","R$ 7,00"
76,APTI4,"R$ 3.500,00","R$ 3.493,20","R$ 6,80"
77,COCE6,"R$ 19,17","R$ 25,97","R$ 6,80"
78,SOND3,"R$ 46,01","R$ 52,75","R$ 6,74"
79,CEAB3,"R$ 9,44","R$ 2,77","R$ 6,67"
80,MODL3,"R$ 3,08","R$ -3,59","R$ 6,67"
81,KEPL3,"R$ 10,20","R$ 16,84","R$ 6,64"
82,CSED3,"R$ 4,60","R$ -2,02","R$ 6,62"
83,SBFG3,"R$ 12,67","R$ 6,12","R$ 6,55"
84,TRAD3,"R$ 0,83","R$ 7,21","R$ 6,38"
85,BRAP3,"R$ 18,58","R$ 24,92","R$ 6,34"
86,POMO4,"R$ 7,18","R$ 13,47","R$ 6,29"
87,TCSA3,"R$ 2,81","R$ 9,09","R$ 6,28"
88,EEEL3,"R$ 294,77","R$ 301,01","R$ 6,24"
89,TAEE11,"R$ 35,50","R$ 29,40","R$ 6,10"
90,BLUT4,"R$ 1,52","R$ 7,59","R$ 6,07"
91,UCAS3,"R$ 2,57","R$ -3,45","R$ 6,02"
92,GMAT3,"R$ 8,06","R$ 14,06","R$ 6,00"
93,CATA3,"R$ 103,61","R$ 97,75","R$ 5,86"
94,BRSR5,"R$ 18,40","R$ 24,26","R$ 5,86"
95,BRGE7,"R$ 13,07","R$ 18,79","R$ 5,72"
96,QUAL3,"R$ 2,24","R$ -3,47","R$ 5,71"
97,RDNI3,"R$ 4,05","R$ -1,59","R$ 5,64"
98,QVQP3B,"R$ 0,00","R$ -5,57","R$ 5,57"
99,MBLY3,"R$ 2,10","R$ 7,65","R$ 5,55"
100,TRIS3,"R$ 5,30","R$ 10,80","R$ 5,50"
101,CSAB3,"R$ 30,50","R$ 35,99","R$ 5,49"
102,DXCO3,"R$ 8,00","R$ 13,48","R$ 5,48"
103,MWET4,"R$ 5,60","R$ 11,05","R$ 5,45"
104,CEGR3,"R$ 68,00","R$ 62,56","R$ 5,44"
105,VSPT4,"R$ 0,00","R$ 5,36","R$ 5,36"
106,G2DI33,"R$ 1,96","R$ -3,39","R$ 5,35"
107,EMAE4,"R$ 75,90","R$ 81,24","R$ 5,34"
108,POSI3,"R$ 7,90","R$ 2,64","R$ 5,26"
109,INNT3,"R$ 0,00","R$ -5,26","R$ 5,26"
110,GBIO33,"R$ 10,40","R$ 15,60","R$ 5,20"
111,BIOM3,"R$ 9,11","R$ 4,01","R$ 5,10"
112,SHOW3,"R$ 2,13","R$ -2,96","R$ 5,09"
113,GETT11,"R$ 4,81","R$ 9,87","R$ 5,06"
114,REDE3,"R$ 7,43","R$ 12,49","R$ 5,06"
115,ENMA6B,"R$ 83,99","R$ 78,95","R$ 5,04"
116,JOPA3,"R$ 21,20","R$ 26,20","R$ 5,00"
117,SHUL4,"R$ 6,69","R$ 11,66","R$ 4,97"
118,GRAO3,"R$ 0,00","R$ 4,95","R$ 4,95"
119,LOGN3,"R$ 37,90","R$ 33,04","R$ 4,86"
120,DTCY3,"R$ 5,63","R$ 10,48","R$ 4,85"
121,VITT3,"R$ 7,45","R$ 2,64","R$ 4,81"
122,ASAI3,"R$ 14,63","R$ 19,44","R$ 4,81"
123,AALR3,"R$ 7,09","R$ 2,33","R$ 4,76"
124,ECOR3,"R$ 8,89","R$ 13,65","R$ 4,76"
125,LUXM3,"R$ 0,00","R$ -4,68","R$ 4,68"
126,HETA4,"R$ 6,52","R$ 11,16","R$ 4,64"
127,CTKA4,"R$ 18,30","R$ 13,73","R$ 4,57"
128,VVAR4,"R$ 95,68","R$ 91,12","R$ 4,56"
129,SEDU3,"R$ 23,80","R$ 28,36","R$ 4,56"
130,OIBR4,"R$ 1,83","R$ 6,36","R$ 4,53"
131,MTSA4,"R$ 49,08","R$ 53,60","R$ 4,52"
132,GGPS3,"R$ 18,63","R$ 14,11","R$ 4,52"
133,BRAP4,"R$ 19,50","R$ 24,00","R$ 4,50"
134,MAGG3,"R$ 59,40","R$ 54,90","R$ 4,50"
135,MRFG3,"R$ 9,99","R$ 14,43","R$ 4,44"
136,MGLU3,"R$ 1,97","R$ -2,42","R$ 4,39"
137,CBEE3,"R$ 12,00","R$ 16,36","R$ 4,36"
138,CREM3,"R$ 14,50","R$ 10,17","R$ 4,33"
139,FESA3,"R$ 14,44","R$ 18,76","R$ 4,32"
140,VVAR11,"R$ 14,58","R$ 18,89","R$ 4,31"
141,MTIG4,"R$ 23,00","R$ 18,74","R$ 4,26"
142,CPLE11,"R$ 50,12","R$ 45,88","R$ 4,24"
143,ENGI11,"R$ 47,95","R$ 43,72","R$ 4,23"
144,BPHA3,"R$ 0,62","R$ 4,84","R$ 4,22"
145,CEPE3,"R$ 125,26","R$ 121,05","R$ 4,21"
146,ETER3,"R$ 7,04","R$ 2,86","R$ 4,18"
147,PDTC3,"R$ 2,66","R$ -1,50","R$ 4,16"
148,WLMM3,"R$ 22,81","R$ 26,97","R$ 4,16"
149,JBSS3,"R$ 23,00","R$ 18,88","R$ 4,12"
150,BRGE6,"R$ 13,29","R$ 9,19","R$ 4,10"
151,PNVL3,"R$ 11,93","R$ 7,83","R$ 4,10"
152,CTSA4,"R$ 1,61","R$ 5,70","R$ 4,09"
153,AMAR3,"R$ 2,26","R$ -1,83","R$ 4,09"
154,FIBR3,"R$ 66,30","R$ 62,23","R$ 4,07"
155,MSPA3,"R$ 43,00","R$ 47,06","R$ 4,06"
156,ALPK3,"R$ 4,61","R$ 8,66","R$ 4,05"
157,DESK3,"R$ 13,86","R$ 9,87","R$ 3,99"
158,GFSA3,"R$ 10,98","R$ 14,96","R$ 3,98"
159,ALPA4,"R$ 9,54","R$ 5,58","R$ 3,96"
160,FTRT3B,"R$ 0,00","R$ -3,93","R$ 3,93"
161,CBAV3,"R$ 4,00","R$ 0,08","R$ 3,92"
162,HAGA4,"R$ 1,18","R$ 5,07","R$ 3,89"
163,SRNA3,"R$ 9,20","R$ 13,08","R$ 3,88"
164,OIBR3,"R$ 0,74","R$ 4,61","R$ 3,87"
165,LOGG3,"R$ 22,17","R$ 26,03","R$ 3,86"
166,MMAQ4,"R$ 49,73","R$ 45,87","R$ 3,86"
167,BRGE8,"R$ 13,17","R$ 17,02","R$ 3,85"
168,JOPA4,"R$ 35,00","R$ 31,16","R$ 3,84"
169,BEEF11,"R$ 3,62","R$ 7,45","R$ 3,83"
170,CTSA3,"R$ 3,06","R$ 6,84","R$ 3,78"
171,LVTC3,"R$ 3,75","R$ 7,52","R$ 3,77"
172,STTR3,"R$ 0,00","R$ -3,76","R$ 3,76"
173,CRPG5,"R$ 34,99","R$ 31,24","R$ 3,75"
174,EMAE3,"R$ 25,35","R$ 29,07","R$ 3,72"
175,ELEK3,"R$ 19,11","R$ 22,82","R$ 3,71"
176,TXRX4,"R$ 2,59","R$ 6,30","R$ 3,71"
177,ZAMP3,"R$ 3,62","R$ 7,32","R$ 3,70"
178,CASH3,"R$ 7,87","R$ 4,20","R$ 3,67"
179,ANIM3,"R$ 4,92","R$ 8,59","R$ 3,67"
180,OPCT3,"R$ 5,90","R$ 2,25","R$ 3,65"
181,B3SA3,"R$ 12,29","R$ 15,93","R$ 3,64"
182,BGIP4,"R$ 24,24","R$ 20,63","R$ 3,61"
183,TEKA3,"R$ 50,00","R$ 46,42","R$ 3,58"
184,QUSW3,"R$ 0,00","R$ -3,57","R$ 3,57"
185,TPIS3,"R$ 3,84","R$ 0,27","R$ 3,57"
